ShapeName,Slug,Synonyms,Category,Description,CityOrRegionMostAssociated,EarliestAttestedMention,SourceLink,PrimaryGeometry,KeyDiscriminators,Type,IsHollow,IsRidged,IsTwisted,IsCurved,SizeClass,IsStuffed,ThumbnailImage,PhotoImage,SearchAliases
Bucatini,bucatini,perciatelli,Strand,,,,,strand,,strand,yes,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/bucatini.png,<ImageKitPath>/pasta/full/bucatini.jpg,perciateli; perciatelli
Scialatelli,scialatelli,,Ribbon,,,,,ribbon,,ribbon,no,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/scialatelli.png,<ImageKitPath>/pasta/full/scialatelli.jpg,scialateli
Tagliatelle,tagliatelle,,Ribbon,,,,,ribbon,,ribbon,no,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/tagliatelle.png,<ImageKitPath>/pasta/full/tagliatelle.jpg,tagliatele
Mafalde,mafalde,,Ribbon,,,,,ribbon,,ribbon,no,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/mafalde.png,<ImageKitPath>/pasta/full/mafalde.jpg,
Spaghetti,spaghetti,spaghettini (thin); spaghettoni (thick); vermicelli (intermediate),Strand,,,,,strand,,strand,no,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/spaghetti.png,<ImageKitPath>/pasta/full/spaghetti.jpg,spagheti; vermiceli; spaghetini; spaghetoni; vermicelli; spaghettini; spaghettoni
Sagne Torte,sagne-torte,,Sheet,,,,,sheet,,sheet,no,no,no,yes,medium,no,<ImageKitPath>/pasta/thumb/sagne-torte.png,<ImageKitPath>/pasta/full/sagne-torte.jpg,torte sagne
Linguine,linguine,,Ribbon,,,,,ribbon,,ribbon,no,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/linguine.png,<ImageKitPath>/pasta/full/linguine.jpg,
Pici,pici,,Strand,,,,,strand,,strand,no,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/pici.png,<ImageKitPath>/pasta/full/pici.jpg,
Canule,canule,,Strand,,,,,strand,,strand,no,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/canule.png,<ImageKitPath>/pasta/full/canule.jpg,
Busiate,busiate,busiata trapanese; busiati,Short,,,,,short,,short,yes,no,yes,no,medium,no,<ImageKitPath>/pasta/thumb/busiate.png,<ImageKitPath>/pasta/full/busiate.jpg,busiati; busiata trapanese
Bavette,bavette,,Ribbon,,,,,ribbon,,ribbon,no,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/bavette.png,<ImageKitPath>/pasta/full/bavette.jpg,bavete
Fettuccine,fettuccine,,Ribbon,,,,,ribbon,,ribbon,no,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/fettuccine.png,<ImageKitPath>/pasta/full/fettuccine.jpg,fetucine
Fettuccelli,fettuccelli,,Ribbon,,,,,ribbon,,ribbon,no,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/fettuccelli.png,<ImageKitPath>/pasta/full/fettuccelli.jpg,fetuceli
